4,4.1.1, Understand Input-Process-Output model                                  ,swjob6iZtR4,"Inputs, processes and outputs"
4,4.1.2," Understand other models - Sequential, Parallel, multiagent             ",agQSHfHhvZI,Machines & Computational Models
4,4.2.1, Components of a Computer system                                        ,HB4I2CgkcCo,Inside a Computer
4,4.2.2, Different types of memory                                              ,pwU3WJwQ-8Q,Different types of memory
4,4.2.2, Different types of memory                                              ,gcGukgVt-4c,RAM and ROM
4,4.2.3, Understand the components of a CPU                                     ,P1vhlsmUafk,Common CPU components and their function
4,4.2.3, Understand the components of a CPU                                     ,U3rbQnl27Ok,Von Neumann architecture
4,4.2.3, Understand the components of a CPU                                     ,G532hn8cQq0,The fetch-execute cycle
4,4.2.4, Understand how data is stored on secondary devices                     ,YRPYYo1_rbw,The need for secondary storage
4,4.2.4, Understand how data is stored on secondary devices                     ,eLu6C9mrIog,Common types of storage
4,4.2.4, Understand how data is stored on secondary devices                     ,dCmEvZiFsMs,Suitable storage devices and storage media
4,4.2.5, Understand cloud storage                                               ,b1tXebPtMGg,Cloud storage
4,4.2.6, Understand embedded systems and their functions                        ,WR242RfnsIo,Embedded systems
4,4.2.6, Understand embedded systems and their functions                        ,97QwF3R70RA,The Internet of Things
4,4.3.1, Construct and Interpret truth tables                                   ,jN9WtjyjXf4,Simple logic diagrams
4,4.3.1, Construct and Interpret truth tables                                   ,U7dbx9fllLc,Truth tables
4,4.3.1, Construct and Interpret truth tables                                   ,M7h8XBjp0-s,Combining Boolean operators
4,4.3.1, Construct and Interpret truth tables                                   ,vPG5c-RJtog,Applying logical operators in truth tables
4,4.3.2, Produce a logic statement for a given problem                          ,,
4,4.4.1, Know what an operating system is                                       ,TNW1qzeEA0w,The purpose and functionality of operating systems
4,4.4.1, Know what an operating system is                                       ,CZEhQLrYgDM,Operating systems - Part 1
4,4.4.1, Know what an operating system is                                       ,QCwWO_tR3rA,Operating systems - Part 2
4,4.4.2, Know what utility software is                                          ,lNjIZu-b2Cs,Utility software
4,4.4.3, Understand simulations                                                 ,,
4,4.4.4, understand what applications are                                       ,FxSTo0u638w,Application and System Software
4,4.5, Programming Languages                                                  ,,
4,4.5.1, Understand high and low level programming                              ,oONakZsHYdU,Different languages
4,4.5.2," What is an assembler, interpreter                                      ",phpLmogTH0k,Characteristics of compilers and interpreters
4,3.1, Binary                                                                 ,,
4,3.1.1, Use binary to represent data and values                                ,UFx7be6La34,Bit Patterns
4,3.1.1, Use binary to represent data and values                                ,Rold-Go3dH8,Number Bases
4,3.1.2," Unsigned integers, signed integers, sign and magnitude, 2's compliment ",JTyzCpAmn0k,Signed integers using two's complement
4,3.1.3, Convert between binary and denary 0-255                                ,AMNunPK_5X4,Converting between denary and 8-bit binary
4,3.1.4,"Adds, shift (logical and arithmetic) & overflow                       ",a7Y70XrchL8,Adding two 8-bit binary integers
4,3.1.4,"Adds, shift (logical and arithmetic) & overflow                       ",aKMLNZNzfnY,Binary shifts
4,3.1.4,"Adds, shift (logical and arithmetic) & overflow                       ",Q7t9-Sq_4Ww,Overflow in Signed and Unsigned Numbers
4,3.1.5, Convert hexadecimal                                                    ,BVnfQ-4s8hw,Converting between denary and 2-digit hexadecimal
4,3.1.5, Convert hexadecimal                                                    ,LDEmZwsP5EQ,Why hexadecimal is used in computer science
4,3.2, Data representation                                                    ,,
4,3.2.1, Ascii and Unicode                                                      ,,
4,3.2.2," Bitmaps, pixels, resolution, colour depth                              ",,
4,3.2.3," Sound, analogue                                                        ",,
4,3.2.4," Limitations (sampling frequency, resolution)                           ",,
4,3.3, Data storage and compression                                           ,,
4,3.3.1," Use and convert binary multiples (KiB, Kb , etc)                       ",,
4,3.3.2, Need and methods of compressing data                                   ,,
4,3.3.3, Lossless RLE                                                           ,,
4,3.3.4, Calculate file storage                                                 ,,
4,3.4, Encryption                                                             ,,
4,3.4.1, Why do we need Data Encryption?                                        ,,
4,3.4.2, Understand key encryption algorithms                                   ,,
